key,project,issuetype,resolution,priority,created,resolutiondate,summary,category,spec_areas,is_nonconformance,mentions_other_driver,preventable_by_yaml_test,confidence,rationale,components,labels,fix_versions,links,url
NODE-1212,NODE,Improvement,Fixed,Major - P3,2017-12-05,2017-12-08,Update Reference Guide for 3.0.0,not_relevant,,False,False,False,high,Documentation update; not about driver behavior.,,,3.0.0,,https://jira.mongodb.org/browse/NODE-1212
NODE-998,NODE,Improvement,Fixed,Major - P3,2017-05-22,2017-12-12,Make keepAlive options the same as for the node socket level instead of a weird hybrid,driver_spec_nonconformance,cmap,False,False,False,medium,Aligning keepAlive options with Node socket spec semantics.,,external-user,3.0.0,,https://jira.mongodb.org/browse/NODE-998
NODE-1216,NODE,Bug,Fixed,Major - P3,2017-12-07,2017-12-13,Mongos topology leaks memory on every re-connect via the serverDescriptionChanged event listener,avoidable_by_spec_conformance,sdam,False,False,False,high,Memory leak on mongos topology reconnect; event listener cleanup issue.,,external-user,3.0.0,,https://jira.mongodb.org/browse/NODE-1216
NODE-995,NODE,Improvement,Fixed,Trivial - P5,2017-05-19,2017-12-13,Add Explanation of difference between using the JS and C++ bson parser and some guidelines,not_relevant,,False,False,False,high,Documentation about BSON parser options; explanatory content.,,external-user,3.0.0,,https://jira.mongodb.org/browse/NODE-995
NODE-1225,NODE,Bug,Fixed,Major - P3,2017-12-12,2017-12-18,Find.updateOne returns FindOperatorsUnordered instead of UnorderedBulkOperation,driver_spec_nonconformance,crud,True,False,True,high,Find.updateOne returns wrong type; documentation/implementation mismatch.,,external-user,3.0.0,,https://jira.mongodb.org/browse/NODE-1225
NODE-1075,NODE,Bug,Fixed,Major - P3,2017-07-06,2017-12-19,Core sharded tests failing against 3.4,driver_spec_nonconformance,wire-protocol,False,False,True,medium,Sharded test cursor iteration failures against MongoDB 3.4.,,external-user,3.0.0,Gantt End to Start:NODE-1073,https://jira.mongodb.org/browse/NODE-1075
NODE-1089,NODE,Bug,Fixed,Major - P3,2017-07-25,2017-12-21,readPreference of Secondary can cause Node driver to hang,avoidable_by_spec_conformance,server-selection|sdam,False,False,False,high,Secondary read preference causes driver hang; server selection timeout.,MongoDB 3.4,,3.0.0,,https://jira.mongodb.org/browse/NODE-1089
NODE-1218,NODE,Improvement,Fixed,Major - P3,2017-12-08,2017-12-23,Clean up and update API documentation for 3.0.0,not_relevant,,False,False,False,high,API documentation updates for 3.0.0; not about driver behavior.,,,3.0.0,Duplicate:NODE-1235,https://jira.mongodb.org/browse/NODE-1218
NODE-1243,NODE,Bug,Done,Major - P3,2017-12-31,2018-01-03,MongoClient.connect slowed down in 3.0 on Windows,not_relevant,,False,False,False,medium,Connection speed regression on Windows; platform-specific performance.,MongoDB 3.4,external-user,,,https://jira.mongodb.org/browse/NODE-1243
NODE-1237,NODE,Bug,Fixed,Major - P3,2017-12-21,2018-01-08,Update the older driver version installation guide to specify version,not_relevant,,False,False,False,high,Installation guide documentation update; not about driver behavior.,,,2.2.34,,https://jira.mongodb.org/browse/NODE-1237
NODE-1248,NODE,Improvement,Fixed,Major - P3,2018-01-02,2018-01-10,Create new project `mongodb-mock-server`,not_relevant,,False,False,False,high,Extracting mock server into shared module; build/test infrastructure.,,,3.1.0,,https://jira.mongodb.org/browse/NODE-1248
NODE-1271,NODE,Bug,Done,Major - P3,2018-01-08,2018-01-10,Change Streams update operations aren't triggered properly when resuming from previous change id.,driver_spec_nonconformance,change-streams,True,False,True,high,Change stream updates not triggered on resume with previous changeId.,,external-user,,Duplicate:HELP-5605,https://jira.mongodb.org/browse/NODE-1271
NODE-1280,NODE,Bug,Done,Major - P3,2018-01-11,2018-01-16,node-mongodb-native cannot be built with webpack due to incorrect require syntax,not_relevant,,False,False,False,high,"Webpack build compatibility; toolchain issue, not driver behavior.",Native,external-user,,,https://jira.mongodb.org/browse/NODE-1280
NODE-1260,NODE,Bug,Fixed,Major - P3,2018-01-03,2018-01-16,Correct documentation of MongoClient.connect regarding default family,not_relevant,,False,False,False,high,Documentation clarification for default IP family behavior.,,,3.0.2,,https://jira.mongodb.org/browse/NODE-1260
NODE-1236,NODE,Bug,Fixed,Major - P3,2017-12-21,2018-01-16,The aggregation example on the tutorial page should enumerate cursor,not_relevant,,False,False,False,high,Documentation example showing cursor usage; not about behavior.,Docs,,3.0.2,,https://jira.mongodb.org/browse/NODE-1236
NODE-1235,NODE,Bug,Fixed,Major - P3,2017-12-21,2018-01-18,The docs for node-mongodb-native points to mongodb java driver ,not_relevant,,False,False,False,high,Documentation link pointing to wrong driver; docs infrastructure.,,,3.0.2,Duplicate:NODE-1218,https://jira.mongodb.org/browse/NODE-1235
NODE-1283,NODE,Improvement,Fixed,Major - P3,2018-01-11,2018-01-18,Fix documentation for Collection.prototype.aggregate,not_relevant,,False,False,False,high,Documentation for aggregate callback return type; docs issue.,,,,,https://jira.mongodb.org/browse/NODE-1283
NODE-1270,NODE,Bug,Fixed,Minor - P4,2018-01-08,2018-01-18,Multiple databases causing EventEmitter warnings,avoidable_by_spec_conformance,sdam,False,False,False,medium,EventEmitter max listeners warning with multiple databases.,,external-user,,,https://jira.mongodb.org/browse/NODE-1270
NODE-1286,NODE,Bug,Fixed,Major - P3,2018-01-12,2018-01-19,Make DNS Seedlist Connection Format compatible with 3.6.1,driver_spec_nonconformance,dns-seedlist|connection-string,True,False,True,high,mongodb+srv connection strings incompatible with MongoDB 3.6.1.,Native,external-user,3.0.2,,https://jira.mongodb.org/browse/NODE-1286
NODE-1285,NODE,Improvement,Fixed,Major - P3,2018-01-11,2018-01-19,Document aggregation pipeline changes in migration guide,not_relevant,,False,False,False,high,Migration guide documentation for pipeline changes.,,,3.0.2,,https://jira.mongodb.org/browse/NODE-1285
NODE-1272,NODE,Improvement,Fixed,Major - P3,2018-01-08,2018-01-22,.watch() method documentation fullDocument is incorrect,not_relevant,,False,False,False,high,Documentation correction for .watch() fullDocument option.,Docs,external-user,3.0.2,,https://jira.mongodb.org/browse/NODE-1272
NODE-1168,NODE,Bug,Fixed,Major - P3,2017-10-26,2018-01-23,promoteBuffers + GridFS = TypeError: doc.data.length is not a function,driver_spec_nonconformance,bson|gridfs,True,False,False,high,GridFS fails with promoteBuffers option; BinData vs Buffer handling.,MongoDB 3.4,external-user,2.2.34,,https://jira.mongodb.org/browse/NODE-1168
NODE-1295,NODE,Improvement,Fixed,Major - P3,2018-01-21,2018-01-24,move connection string parser to mongodb-core,not_relevant,,False,False,False,high,Moving connection string parser to core; module refactoring.,Core,,3.1.0,,https://jira.mongodb.org/browse/NODE-1295
NODE-1293,NODE,Bug,Fixed,Minor - P4,2018-01-19,2018-01-29,db.collection catching application errors and calling the callback twice,avoidable_by_spec_conformance,crud,False,False,False,medium,db.collection catching application errors and double-calling callback.,,external-user,3.0.2,,https://jira.mongodb.org/browse/NODE-1293
NODE-1287,NODE,Bug,Fixed,Major - P3,2018-01-12,2018-02-01,collection.remove throws a 'Cannot convert undefined or null to object',driver_spec_nonconformance,crud,True,False,True,high,collection.remove throws 'Cannot convert undefined or null to object'.,,external-user,3.0.3,,https://jira.mongodb.org/browse/NODE-1287
NODE-1335,NODE,Bug,Fixed,Major - P3,2018-02-16,2018-02-27,Implicit Session leak if executeOperation throws error,avoidable_by_spec_conformance,sessions,False,False,False,high,Implicit session leak if executeOperation throws error.,Native,,3.0.4,,https://jira.mongodb.org/browse/NODE-1335
NODE-1342,NODE,Bug,Done,Major - P3,2018-02-22,2018-03-01,startSession issue,not_relevant,,False,False,False,high,Documentation inconsistency for startSession return type.,,external-user,3.0.3,,https://jira.mongodb.org/browse/NODE-1342
NODE-1333,NODE,Bug,Fixed,Major - P3,2018-02-15,2018-03-01,"Move responsibility for terminating sessions to topology, and track all sessions",avoidable_by_spec_conformance,sessions,False,False,False,high,Session tracking and cleanup responsibility moved to topology.,Core|Native,,3.0.3,Related:NODE-1326,https://jira.mongodb.org/browse/NODE-1333
NODE-1357,NODE,Bug,Fixed,Critical - P2,2018-03-02,2018-03-05,Driver 3.x is much slower against Atlas than 2.x,not_relevant,,False,False,False,medium,Performance regression against Atlas; optimization issue.,,external-user,3.0.4,,https://jira.mongodb.org/browse/NODE-1357
NODE-1326,NODE,Improvement,Fixed,Major - P3,2018-02-13,2018-03-20,Decrease likelihood of implicit session leaks,avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1326,Core|Native,external-user,3.0.5,Depends:SPEC-1030|Depends:DRIVERS-453|Related:MMSSUPPORT-20008|Related:HELP-5834|Related:NODE-1333,https://jira.mongodb.org/browse/NODE-1326
NODE-1321,NODE,Bug,Fixed,Major - P3,2018-02-09,2018-03-26,MongoDB 3.6 URI does not parse into component parts correctly when the auth database and database being connected to are different,test_infrastructure,,False,False,False,medium,ticket NODE-1321,Core|Native,external-user,3.0.5,Related:NODE-1304,https://jira.mongodb.org/browse/NODE-1321
NODE-1397,NODE,Improvement,Fixed,Major - P3,2018-04-01,2018-04-02,mongodb-extjson should allow non-strict (relaxed) parsing,not_relevant,,False,False,False,medium,not about spec conformance,,,,,https://jira.mongodb.org/browse/NODE-1397
NODE-1378,NODE,Bug,Fixed,Major - P3,2018-03-21,2018-04-04,ReadPreference should not be taken into consideration when the drop database command is invoked,test_infrastructure,,False,False,False,medium,ticket NODE-1378,,,3.0.6,Related:MMSSUPPORT-20864,https://jira.mongodb.org/browse/NODE-1378
NODE-1393,NODE,Bug,Fixed,Major - P3,2018-03-29,2018-04-05,Crush in mongodb-core/lib/topologies/replset_state.js,not_relevant,,False,False,False,medium,not about spec conformance,,external-user,3.0.5,,https://jira.mongodb.org/browse/NODE-1393
NODE-1352,NODE,Improvement,Fixed,Major - P3,2018-02-27,2018-04-05,Driver Performance Benchmarking,avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1352,Native,,3.1.0,Depends:NODE-1175|Depends:DRIVERS-301,https://jira.mongodb.org/browse/NODE-1352
NODE-1390,NODE,Improvement,Fixed,Major - P3,2018-03-27,2018-04-09,improve APM api,not_relevant,,False,False,False,medium,not about spec conformance,,,3.0.6,,https://jira.mongodb.org/browse/NODE-1390
NODE-1411,NODE,Improvement,Fixed,Major - P3,2018-04-16,2018-04-16,refactor write concern decoration,not_relevant,,False,False,False,medium,not about spec conformance,,,3.0.7,,https://jira.mongodb.org/browse/NODE-1411
NODE-1402,NODE,Bug,Fixed,Critical - P2,2018-04-10,2018-04-17,Node Driver Hangs Indefinitely When Connecting Via SRV Record,not_relevant,,False,False,False,medium,not about spec conformance,,node-internal,3.0.7,Depends:COMPASS-2711,https://jira.mongodb.org/browse/NODE-1402
NODE-1415,NODE,Bug,Fixed,Major - P3,2018-04-18,2018-04-18,honor user provided batchSize in aggregate,not_relevant,,False,False,False,medium,not about spec conformance,Native,,,,https://jira.mongodb.org/browse/NODE-1415
NODE-1420,NODE,Bug,Fixed,Critical - P2,2018-04-19,2018-04-23,Cursor session id (none) is not the same as the operation context's,avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1420,Core|Native,external-user,3.1.0|3.0.8,,https://jira.mongodb.org/browse/NODE-1420
NODE-1368,NODE,Improvement,Fixed,Major - P3,2018-03-14,2018-04-25,Deprecate snapshot option,not_relevant,,False,False,False,medium,not about spec conformance,Native,external-user,3.1.0,Depends:SPEC-1033|Depends:DRIVERS-454,https://jira.mongodb.org/browse/NODE-1368
NODE-1440,NODE,Improvement,Fixed,Major - P3,2018-04-27,2018-04-27,Document minSize option,not_relevant,,False,False,False,medium,not about spec conformance,,,3.1.0|3.0.8,Documented:NODE-1433,https://jira.mongodb.org/browse/NODE-1440
NODE-1304,NODE,Improvement,Fixed,Major - P3,2018-01-30,2018-04-27,Use the connection string parser from mongodb-core in native,not_relevant,,False,False,False,medium,not about spec conformance,Core|Native,,3.1.0,Related:NODE-1321|Related:NODE-1309,https://jira.mongodb.org/browse/NODE-1304
NODE-1446,NODE,Bug,Fixed,Critical - P2,2018-04-30,2018-05-01,Extended json package does not decode canonical dates when relaxed is true,not_relevant,,False,False,False,medium,not about spec conformance,EJSON,external-user,,,https://jira.mongodb.org/browse/NODE-1446
NODE-1466,NODE,Bug,Fixed,Major - P3,2018-05-10,2018-05-12,Non-write commands are sending txnNumber,not_relevant,,False,False,False,medium,not about spec conformance,Core,,3.1.0,Problem/Incident:FREE-156177,https://jira.mongodb.org/browse/NODE-1466
NODE-1423,NODE,Bug,Fixed,Major - P3,2018-04-24,2018-05-18,bson.Binary breaks in extended json stringify() when constructed with Uint8Array,not_relevant,,False,False,False,medium,not about spec conformance,js-bson,,3.1.0,,https://jira.mongodb.org/browse/NODE-1423
NODE-1454,NODE,Bug,Fixed,Major - P3,2018-05-02,2018-05-21,Inconsistent results for BSON.Binary when used with mongodb-extjson on Web,not_relevant,,False,False,False,medium,not about spec conformance,BSON,external-user,3.1.0,,https://jira.mongodb.org/browse/NODE-1454
NODE-1470,NODE,Improvement,Fixed,Major - P3,2018-05-16,2018-05-23,findOneAndUpdate,not_relevant,,False,False,False,medium,not about spec conformance,Native,external-user,3.1.0,,https://jira.mongodb.org/browse/NODE-1470
NODE-1431,NODE,Improvement,Fixed,Trivial - P5,2018-04-25,2018-05-25,Remove all node version filters less than 4.x,test_infrastructure,,False,False,False,medium,ticket NODE-1431,Native,,3.1.0,,https://jira.mongodb.org/browse/NODE-1431
NODE-1330,NODE,Improvement,Fixed,Trivial - P5,2018-02-14,2018-05-29,Remove all test error/log output from tests,test_infrastructure,,False,False,False,medium,ticket NODE-1330,Core|Native,,3.1.0,,https://jira.mongodb.org/browse/NODE-1330
NODE-1464,NODE,Improvement,Fixed,Major - P3,2018-05-09,2018-05-29,extjson: support encoding and decoding RegExp's,not_relevant,,False,False,False,medium,not about spec conformance,EJSON,external-user,,,https://jira.mongodb.org/browse/NODE-1464
NODE-1477,NODE,Improvement,Fixed,Minor - P4,2018-05-22,2018-06-05,Nodejs API docs should have a title,not_relevant,,False,False,False,medium,not about spec conformance,,external-user,3.0.11,,https://jira.mongodb.org/browse/NODE-1477
NODE-1494,NODE,Bug,Fixed,Major - P3,2018-06-04,2018-06-06,mongoErrorContextSymbol undefined in isGetMoreError() in change_stream.js,not_relevant,,False,False,False,medium,not about spec conformance,Native,,,,https://jira.mongodb.org/browse/NODE-1494
NODE-1493,NODE,Improvement,Fixed,Major - P3,2018-06-04,2018-06-06,Change Stream Resuming Broken for Promise-based call to .next,not_relevant,,False,False,False,medium,not about spec conformance,Native,,3.1.0|3.0.11,,https://jira.mongodb.org/browse/NODE-1493
NODE-1499,NODE,Bug,Fixed,Trivial - P5,2018-06-06,2018-06-07,tests encoding functions differs in output between versions of node,test_infrastructure,,False,False,False,medium,ticket NODE-1499,BSON,,,,https://jira.mongodb.org/browse/NODE-1499
NODE-1126,NODE,Bug,Fixed,Trivial - P5,2017-08-25,2018-06-08,Wrong documentation for Cursor.addQueryModifier value parameter,not_relevant,,False,False,False,medium,not about spec conformance,,external-user,,,https://jira.mongodb.org/browse/NODE-1126
NODE-1197,NODE,Bug,Fixed,Minor - P4,2017-11-17,2018-06-08,Cursor: When Cursor is exhaust hasNext() function returns error instead 'false' when it is called more than once.,not_relevant,,False,False,False,medium,not about spec conformance,MongoDB 3.4,external-user,,,https://jira.mongodb.org/browse/NODE-1197
NODE-1231,NODE,Improvement,Fixed,Minor - P4,2017-12-18,2018-06-08,Cursor.forEach should support returning a Promise,not_relevant,,False,False,False,medium,not about spec conformance,MongoDB 3.4,external-user,3.1.0,,https://jira.mongodb.org/browse/NODE-1231
NODE-1488,NODE,Improvement,Fixed,Major - P3,2018-06-03,2018-06-11,Resync retryable writes tests,avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1488,,external-user,3.1.0,Depends:SPEC-1005|Depends:DRIVERS-476,https://jira.mongodb.org/browse/NODE-1488
NODE-1319,NODE,Bug,Fixed,Trivial - P5,2018-02-09,2018-06-11,Incorrect example within Create a Text Index section of Create_Index tutorial,not_relevant,,False,False,False,medium,not about spec conformance,Docs,external-user,,,https://jira.mongodb.org/browse/NODE-1319
NODE-1182,NODE,Bug,Fixed,Minor - P4,2017-11-09,2018-06-11,"Documentation for using Cursor.returnKey is incomplete, missing",not_relevant,,False,False,False,medium,not about spec conformance,,external-user,,,https://jira.mongodb.org/browse/NODE-1182
NODE-1369,NODE,Bug,Fixed,Major - P3,2018-03-15,2018-06-13,Cursor count() ignores collation,not_relevant,,False,False,False,medium,not about spec conformance,Native,,,,https://jira.mongodb.org/browse/NODE-1369
NODE-1208,NODE,Improvement,Fixed,Major - P3,2017-11-30,2018-06-14,"cursor.stream should return a readable stream, and not mutate the cursor",not_relevant,,False,False,False,medium,not about spec conformance,,,,,https://jira.mongodb.org/browse/NODE-1208
NODE-1492,NODE,Improvement,Fixed,Major - P3,2018-06-04,2018-06-18,Only send bypassDocumentValidation if it's true,avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1492,Core,external-user,3.1.0,Depends:DRIVERS-450,https://jira.mongodb.org/browse/NODE-1492
NODE-1515,NODE,Improvement,Fixed,Major - P3,2018-06-15,2018-06-19,Unify read preference resolution,avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1515,,,3.1.0,,https://jira.mongodb.org/browse/NODE-1515
NODE-1512,NODE,Improvement,Fixed,Major - P3,2018-06-15,2018-06-19,Re-sync transaction spec tests for new UnknownTransactionCommitResult label tests,avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1512,,external-user,3.1.0,Depends:SPEC-1112|Depends:DRIVERS-505,https://jira.mongodb.org/browse/NODE-1512
NODE-1516,NODE,Improvement,Fixed,Major - P3,2018-06-17,2018-06-19,Improve specificity of write concern errors,avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1516,,,3.1.0,,https://jira.mongodb.org/browse/NODE-1516
NODE-1520,NODE,Improvement,Fixed,Major - P3,2018-06-18,2018-06-20,Update ChangeStream spec to detail usage of startAtOperationTime,avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1520,Core|Native,external-user,3.1.0,Depends:SPEC-1114|Depends:DRIVERS-506,https://jira.mongodb.org/browse/NODE-1520
NODE-1478,NODE,Improvement,Fixed,Major - P3,2018-05-23,2018-06-21,Provide Transactions example for Docs,not_relevant,,False,False,False,medium,not about spec conformance,Native,external-user,3.1.0,Depends:DRIVERS-488,https://jira.mongodb.org/browse/NODE-1478
NODE-1519,NODE,Bug,Fixed,Minor - P4,2018-06-18,2018-06-22,Change stream should pass both resumeAfter and startAtOperationTime,avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1519,Native,,3.1.0,,https://jira.mongodb.org/browse/NODE-1519
NODE-1513,NODE,Bug,Fixed,Major - P3,2018-06-15,2018-06-22,retryWrites does not seem to work if any update multi=true queries are executed,not_relevant,,False,False,False,medium,not about spec conformance,Core|Native,external-user,3.1.0,Backports:DRIVERS-396|Backports:NODE-1105,https://jira.mongodb.org/browse/NODE-1513
NODE-1255,NODE,Improvement,Fixed,Major - P3,2018-01-02,2018-06-22,All operations should be moved to `lib/operations/<class>_ops.js`,not_relevant,,False,False,False,medium,not about spec conformance,Native,,3.1.0,,https://jira.mongodb.org/browse/NODE-1255
NODE-1524,NODE,Bug,Fixed,Minor - P4,2018-06-20,2018-06-22,Kerberos semver should allow for other patch versions,not_relevant,,False,False,False,medium,not about spec conformance,Core,,3.1.0,,https://jira.mongodb.org/browse/NODE-1524
NODE-1521,NODE,Improvement,Fixed,Major - P3,2018-06-18,2018-06-25,Attach command response to MongoWriteConcernError,test_infrastructure,,False,False,False,medium,ticket NODE-1521,,,3.1.0,,https://jira.mongodb.org/browse/NODE-1521
NODE-1511,NODE,Bug,Fixed,Major - P3,2018-06-14,2018-06-25,Cursor.prototype.count() is not respecting parent ReadPreference,avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1511,Native,,3.1.0,Problem/Incident:HELP-6839,https://jira.mongodb.org/browse/NODE-1511
NODE-1518,NODE,Improvement,Fixed,Major - P3,2018-06-18,2018-06-25,Add `toBSON` method to `ClientSession`,not_relevant,,False,False,False,medium,not about spec conformance,,,3.1.0,Problem/Incident:NODE-1598,https://jira.mongodb.org/browse/NODE-1518
NODE-1385,NODE,Improvement,Fixed,Minor - P4,2018-03-23,2018-06-28,Remove JSDOC that says [param=null],avoidable_by_spec_conformance,,False,False,False,medium,ticket NODE-1385,Docs,,3.2.0,,https://jira.mongodb.org/browse/NODE-1385
NODE-1523,NODE,Bug,Fixed,Minor - P4,2018-06-20,2018-06-28,Expose Kerberos warning message,not_relevant,,False,False,False,medium,not about spec conformance,Core,,3.1.0,,https://jira.mongodb.org/browse/NODE-1523
NODE-1536,NODE,Bug,Fixed,Major - P3,2018-06-28,2018-06-29,Missing shallow copy in DB.collection,not_relevant,,False,False,False,medium,not about spec conformance,Native,external-user,3.1.1,,https://jira.mongodb.org/browse/NODE-1536
NODE-1542,NODE,Bug,Fixed,Major - P3,2018-06-30,2018-07-03,useNewUrlParser does not seem to work,driver_spec_nonconformance,crud|connection-string|cursors|auth,True,False,True,medium,Bug in crud,MongoDB 3.4,external-user,,Duplicate:NODE-1553|Duplicate:NODE-1554,https://jira.mongodb.org/browse/NODE-1542
NODE-1453,NODE,Improvement,Fixed,Major - P3,2018-05-01,2018-07-03,Resync SDAM tests,not_relevant,,False,True,False,medium,,,external-user,3.2.0,Depends:SPEC-915|Depends:DRIVERS-479,https://jira.mongodb.org/browse/NODE-1453
NODE-1432,NODE,Improvement,Fixed,Major - P3,2018-04-25,2018-07-03,Fix RepliaSet tests,avoidable_by_spec_conformance,retryable-writes|sessions,False,False,unsure,medium,Component bug; retryable-writes,Native,,3.1.0,,https://jira.mongodb.org/browse/NODE-1432
NODE-1543,NODE,Bug,Fixed,Critical - P2,2018-06-30,2018-07-03,countDocuments throws error when query matches zero docs,not_relevant,,False,True,False,medium,Not spec-related or infrastructure.,,external-user,3.1.1,,https://jira.mongodb.org/browse/NODE-1543
NODE-1552,NODE,Bug,Fixed,Major - P3,2018-07-03,2018-07-05,Update normalizedFunctionString to handle named functions,not_relevant,connection-string|crud|bson,False,False,False,medium,Not spec-related or infrastructure.,js-bson,external-user,,,https://jira.mongodb.org/browse/NODE-1552
NODE-1534,NODE,Bug,Fixed,Minor - P4,2018-06-26,2018-07-05,"retryWrites=true, remove, and limit=0",not_relevant,cursors|retryable-writes|crud|dns-seedlist,False,True,False,medium,Not spec-related or infrastructure.,Native,external-user,3.2.0,,https://jira.mongodb.org/browse/NODE-1534
NODE-1528,NODE,Bug,Fixed,Major - P3,2018-06-22,2018-07-11,TypeError: Cannot read property 'nextBatch' of undefined,driver_spec_nonconformance,cursors|index-management|commands|auth,True,False,True,medium,Bug in cursors,,external-user,,Related:NODE-1530,https://jira.mongodb.org/browse/NODE-1528
NODE-1569,NODE,Bug,Fixed,Major - P3,2018-07-17,2018-07-17,Model.countDocuments() leads to a bug in 'mongodb/lib/operations/collection_ops.js',not_relevant,cursors|crud|sessions,False,False,False,medium,Not spec-related or infrastructure.,,external-user,,,https://jira.mongodb.org/browse/NODE-1569
NODE-1578,NODE,Bug,Fixed,Blocker - P1,2018-07-20,2018-07-20,Version Error,driver_spec_nonconformance,connection-string,True,False,True,medium,Bug in connection-string,,external-user,,,https://jira.mongodb.org/browse/NODE-1578
NODE-1541,NODE,Bug,Fixed,Critical - P2,2018-06-30,2018-07-20,Not master error with findOneAndUpdate,driver_spec_nonconformance,crud|cursors|auth,True,False,True,medium,Bug in crud,,external-user,3.1.3,,https://jira.mongodb.org/browse/NODE-1541
NODE-1380,NODE,Bug,Fixed,Minor - P4,2018-03-21,2018-07-20,uncappedCol.isCapped() returns undefined,not_relevant,,False,False,False,medium,,Native,external-user,,,https://jira.mongodb.org/browse/NODE-1380
NODE-1577,NODE,Bug,Fixed,Major - P3,2018-07-19,2018-07-24,Selecting servers by ReadPreference.nearest does not work,not_relevant,,False,True,False,medium,,Core,,3.1.3|2.2.36,Related:HELP-7141|Related:HELP-7141,https://jira.mongodb.org/browse/NODE-1577
NODE-1545,NODE,Improvement,Fixed,Minor - P4,2018-07-02,2018-07-24,Link to Edit XXX on GitHub is broken,not_relevant,connection-string,False,True,False,medium,Not spec-related or infrastructure.,Native,external-user,,,https://jira.mongodb.org/browse/NODE-1545
NODE-1504,NODE,Improvement,Fixed,Major - P3,2018-06-12,2018-07-26,Test bson libraries in the browser,avoidable_by_spec_conformance,bson,False,False,unsure,medium,Component bug; bson,EJSON|js-bson,,,,https://jira.mongodb.org/browse/NODE-1504
NODE-1486,NODE,Improvement,Fixed,Minor - P4,2018-05-30,2018-07-27,Clean up / refactor / unify bulkOp code,not_relevant,,False,False,False,medium,Not spec-related or infrastructure.,Native,,,Problem/Incident:NODE-1633,https://jira.mongodb.org/browse/NODE-1486
NODE-1505,NODE,Improvement,Fixed,Major - P3,2018-06-13,2018-07-30,add `serialize`/`deserialize` to mongodb-extjson,not_relevant,,False,False,False,medium,,EJSON,,,,https://jira.mongodb.org/browse/NODE-1505
NODE-1597,NODE,Bug,Fixed,Major - P3,2018-07-31,2018-08-01,"Getting ""port must be specified"" when using connection string without ports.",not_relevant,connection-string,False,False,False,medium,Not spec-related or infrastructure.,Core,external-user,3.1.3,,https://jira.mongodb.org/browse/NODE-1597
NODE-1430,NODE,Improvement,Fixed,Major - P3,2018-04-25,2018-08-01,Evaluate how we handle deprecation notices,not_relevant,logging,False,True,False,medium,Not spec-related or infrastructure.,Native,,,,https://jira.mongodb.org/browse/NODE-1430
NODE-1581,NODE,Bug,Fixed,Major - P3,2018-07-24,2018-08-01,"""readPreference"" option not honored on cursor.count()",not_relevant,cursors|crud,False,True,False,medium,Not spec-related or infrastructure.,Native,external-user,,,https://jira.mongodb.org/browse/NODE-1581
NODE-1525,NODE,Bug,Fixed,Major - P3,2018-06-20,2018-08-01,Modernize and cleanup kerberos module,not_relevant,,False,False,False,medium,Not spec-related or infrastructure.,kerberos,,3.1.3,,https://jira.mongodb.org/browse/NODE-1525
NODE-1583,NODE,Improvement,Fixed,Trivial - P5,2018-07-24,2018-08-02,Expose AggregationCursor,avoidable_by_spec_conformance,cursors|commands,False,True,unsure,medium,Component bug; cursors,,external-user,,,https://jira.mongodb.org/browse/NODE-1583
NODE-1595,NODE,Bug,Fixed,Major - P3,2018-07-30,2018-08-02,Failure to clean up underlying topology when failing to initially connect,cross_driver_inconsistency,sdam,False,True,unsure,medium,Cross-driver; sdam,Core|Native,,3.1.3,Problem/Incident:NODE-1403,https://jira.mongodb.org/browse/NODE-1595
NODE-1585,NODE,Improvement,Fixed,Major - P3,2018-07-26,2018-08-02,Update ESNext examples to use new MongoClient();,avoidable_by_spec_conformance,crud,False,True,unsure,medium,Component bug; crud,,,,,https://jira.mongodb.org/browse/NODE-1585
NODE-1605,NODE,Bug,Fixed,Major - P3,2018-08-02,2018-08-02,Bug when parsing arrays in new url parser,driver_spec_nonconformance,connection-string,True,False,True,medium,Bug in connection-string,Core,external-user,,,https://jira.mongodb.org/browse/NODE-1605
NODE-1612,NODE,Bug,Fixed,Major - P3,2018-08-06,2018-08-08,Parse comma separated values in new uri parser,driver_spec_nonconformance,connection-string,True,False,True,medium,Bug in connection-string,Core,external-user,,,https://jira.mongodb.org/browse/NODE-1612
NODE-1409,NODE,Bug,Fixed,Major - P3,2018-04-13,2018-08-08,Inserts with invalid records are permitted by the driver,not_relevant,cursors|connection-string|index-management|crud,False,True,False,medium,Not spec-related or infrastructure.,js-bson,external-user,3.1.3,,https://jira.mongodb.org/browse/NODE-1409
NODE-1572,NODE,Bug,Fixed,Major - P3,2018-07-18,2018-08-08,Inserting using `Map` assumes all keys are strings,driver_spec_nonconformance,crud|bson,True,False,True,medium,Bug in crud,BSON,,,Related:NODE-1574,https://jira.mongodb.org/browse/NODE-1572
